Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Return
XLB,2022/7/6,72.550003,73.300003,71.760002,73.089996,71.898415,8301000,0.006
XLB,2022/7/7,73.989998,74.5,73.529999,73.739998,72.537819,4948600,0.009
XLB,2022/7/8,73.849998,73.970001,72.629997,73.019997,71.829559,4091300,-0.01
XLB,2022/7/11,72.279999,73.150002,72.150002,72.82,71.63282,4143800,-0.003
XLB,2022/7/12,72.510002,73.639999,72.419998,72.68,71.49511,6803400,-0.002
XLB,2022/7/13,71.489998,72.68,71.129997,72.260002,71.081947,9999400,-0.006
XLB,2022/7/14,70.910004,70.989998,69.980003,70.93,69.773628,7506200,-0.018
XLB,2022/7/15,72.080002,72.290001,71.160004,72.040001,70.86554,5167000,0.016
XLB,2022/7/18,72.980003,73.32,71.940002,72.209999,71.032761,3766700,0.002
XLB,2022/7/19,73.010002,74.580002,72.93,74.410004,73.196907,5642400,0.03
XLB,2022/7/20,74.309998,74.870003,73.989998,74.540001,73.324783,4691700,0.002
XLB,2022/7/21,74.410004,75.620003,74.07,75.599998,74.3675,4700900,0.014
XLB,2022/7/22,76.059998,76.449997,74.720001,75.059998,73.836304,5403700,-0.007
XLB,2022/7/25,75.260002,75.470001,74.760002,75.370003,74.141258,3864900,0.004
XLB,2022/7/26,74.980003,75.300003,74.57,74.860001,73.639565,3851900,-0.007
XLB,2022/7/27,74.330002,76.059998,73.970001,75.760002,74.524887,5851600,0.012
XLB,2022/7/28,76.120003,77.18,75.949997,77.099998,75.843048,5916000,0.018
XLB,2022/7/29,77.650002,78.339996,77.349998,78.129997,76.856247,4629000,0.013
XLB,2022/8/1,77.760002,77.82,76.940002,77.5,76.236526,5205800,-0.008
XLB,2022/8/2,77.110001,77.790001,76.279999,76.709999,75.459396,5683700,-0.01
XLB,2022/8/3,77.129997,77.32,76.139999,76.790001,75.538101,4798700,0.001
XLB,2022/8/4,76.910004,77.5,76.449997,76.839996,75.58728,3449400,0.001
XLB,2022/8/5,76.230003,77.440002,76.120003,77.110001,75.852875,2946000,0.004
XLB,2022/8/8,78.050003,78.639999,77.489998,77.540001,76.275871,4707100,0.006
XLB,2022/8/9,77.669998,77.699997,76.889999,77.160004,75.902077,6993600,-0.005
XLB,2022/8/10,78.660004,79.800003,78.639999,79.349998,78.056358,4264100,0.028
XLB,2022/8/11,80.080002,80.629997,79.519997,79.620003,78.32196,3064600,0.003
XLB,2022/8/12,79.870003,81.139999,79.720001,81.120003,79.797508,3723600,0.019
XLB,2022/8/15,80.260002,81.190002,79.989998,81.07,79.748322,3190100,-0.001
XLB,2022/8/16,80.839996,81.870003,80.830002,81.519997,80.190987,2605700,0.006
XLB,2022/8/17,80.610001,80.790001,79.970001,80.400002,79.089249,4079800,-0.014
XLB,2022/8/18,80.720001,80.849998,80.129997,80.650002,79.335167,2281400,0.003
XLB,2022/8/19,80.209999,80.209999,78.879997,79.169998,77.879295,3317200,-0.018
XLB,2022/8/22,77.940002,78.339996,77.629997,77.910004,76.639839,3516000,-0.016
XLB,2022/8/23,77.919998,79.07,77.919998,78.68,77.397285,4920000,0.01
XLB,2022/8/24,78.580002,79.139999,78.360001,78.849998,77.564507,2889100,0.002
XLB,2022/8/25,79.389999,80.669998,79.389999,80.639999,79.325333,3065400,0.023
XLB,2022/8/26,80.82,80.889999,78.110001,78.169998,76.895592,4332900,-0.031
XLB,2022/8/29,77.309998,78.260002,77.120003,77.620003,76.354568,3599400,-0.007
XLB,2022/8/30,77.82,77.870003,75.900002,76.349998,75.105263,3701300,-0.016
XLB,2022/8/31,76.480003,76.480003,75.379997,75.410004,74.180595,5025400,-0.012
XLB,2022/9/1,74.5,74.629997,73.510002,74.419998,73.206734,5898000,-0.013
XLB,2022/9/2,75.519997,76.110001,74.019997,74.349998,73.137878,7067100,-0.001
XLB,2022/9/6,74.779999,75.050003,73.790001,74.120003,72.911629,6275600,-0.003
XLB,2022/9/7,73.919998,76.300003,73.75,76.169998,74.9282,6096000,0.028
XLB,2022/9/8,75.410004,76.970001,75.139999,76.910004,75.656143,4398300,0.01
XLB,2022/9/9,77.68,78.290001,77.470001,78.07,76.797226,3648300,0.015
XLB,2022/9/12,78.870003,79.18,78.32,78.800003,77.515335,4049500,0.009
XLB,2022/9/13,76.790001,77.660004,75.800003,75.989998,74.751137,4702000,-0.036
XLB,2022/9/14,75.650002,75.730003,74.330002,75.059998,73.836304,5781200,-0.012
XLB,2022/9/15,74.769997,75.550003,73.940002,74.07,72.862442,5208700,-0.013
XLB,2022/9/16,73.07,73.18,72.110001,72.900002,71.711517,8132700,-0.016
XLB,2022/9/19,71.699997,73.790001,71.610001,73.690002,72.898628,5161700,0.017
XLB,2022/9/20,72.690002,72.690002,71.75,72.290001,71.513664,4774800,-0.019
